LineWarehouse	LineCode	LineType	Comments
17	5420	4	delete scanner 20
17	543 	4	del inv scanner 3
17	544 	4	del inv scanner 4
6	5505	1	FACS Inv Rcvd
1	5593	1	Anthony Cervone
5	591 	1	IR PRINT SCANNER 1
5	5910	1	IR PRINT SCANNER 10
5	5911	1	irlabel print 111
5	5912	1	IR PRINT SCANNER 12
5	5913	1	IR PRINT SCANNER 13
1	5914	1	RCV RETAIL PARTIALS
5	5915	1	IR PRINT SCANNER 15
5	5916	1	IR PRINT SCANNER 16
5	5917	1	IR PRINT SCANNER 17
5	5918	1	IR PRINT SCANNER 18
5	5919	1	ir label print 19
5	592 	1	IR PRINT SCANNER 2
5	5920	1	ir label print 20
5	593 	1	IR PRINT SCANNER 3
5	594 	1	IR PRINT SCANNER 4
5	595 	1	IR PRINT SCANNER 5
5	596 	1	IR PRINT SCANNER 6
5	597 	1	IR PRINT SCANNER 7
5	598 	1	IR PRINT SCANNER 8
17	6   	1	scale006
6	600 	1	I/R wh#6 fw
6	611 	1	Inv Rec Scanner 1
6	6110	1	Inv Rec Scanner 10
6	6111	1	Inv Rec Scanner 11
6	6112	1	Inv Rec Scanner 12
6	6113	1	inv rec scanner 13
6	6114	1	inv rec scanner 14
6	6115	1	inv rec scanner 15
6	6116	1	inv rec scanner 16
6	6117	1	INV RECD SCANNER 17
6	6118	1	INV RECD SCANNER 18
6	6119	1	inv rec scanner 19
6	612 	1	Inv Rec Scanner 2
6	6120	1	inv rec scanner 20
6	613 	1	Inv Rec Scanner 3
6	614 	1	Inv Rec Scanner 4
6	615 	1	Inv Rec Scanner 5
6	616 	1	Inv Rec Scanner 6
6	617 	1	Inv Rec Scanner 7
6	618 	1	Inv Rec Scanner 8
6	619 	1	Inv Rec Scanner 9
17	621 	2	USAGE SCANNER 1
17	6210	2	USAGE SCANNER 10
17	6211	2	USAGE SCANNER 11
17	6212	2	USAGE SCANNER 12
17	6213	2	inv usage scanner 13
17	6214	2	inv usage scanner 14
17	6215	2	inv usage scanner 15
17	6216	2	inv usage scanner 16
17	6217	2	USAGE SCANNER 17
17	6218	2	USAGE SCANNER 18
17	6219	2	usage scanner 19
17	622 	2	USAGE SCANNER 2
17	6220	2	usage scanner 20
17	623 	2	USAGE SCANNER 3
17	624 	2	USAGE SCANNER 4
17	625 	2	USAGE SCANNER 5
17	626 	2	USAGE SCANNER 6
1	6269	1	CESAR RAMOS B4 RHARO
17	627 	2	USAGE SCANNER 7
17	628 	2	USAGE SCANNER 8
17	629 	2	USAGE SCANNER 9
5	6305	1	Receiving CHRobinson
1	6397	1	RETURNED PRODUCT
1	641 	4	Steve Adrian
17	6410	4	DELETE SCANNER 10
17	6411	4	DELETE SCANNER 11
17	6412	4	DELETE SCANNER 12
17	6413	4	inv del scanner 13
17	6414	4	inv del scanner 14
17	6415	4	inv del scanner 15
17	6416	4	inv del scanner 16
17	6417	4	DELETE SCANNER 17
