LongDate	ReceivedDate	TransactionDate	Sequence	ProductCode	LotNumber	LotUnitCost	AlternateQuantity	PricingQuantity	SerialNumber	LineCode	VendorCode	Pallet_ID	TransactionType	PO_Number	Warehouse
201106201042	06/20/2011	06/20/2011	3630	 42361-1-01	0026061885	15.11	1	9.18	12040988	1   	0		3		1
201106201042	06/20/2011	06/20/2011	3631	 42361-1-01	0026061886	15.11	1	9.2	12040989	1   	0		3		1
201106201042	06/20/2011	06/20/2011	3632	 42361-1-01	0026061887	15.11	1	8.9	12040990	1   	0		3		1
201106201043	06/20/2011	06/20/2011	3633	 16029-1-01	0026061888	13.3333	1	10.22	12040991	1   	0		3		1
201106201043	06/20/2011	06/20/2011	3594	  2321-1-01	6407070208	5.75	1	38.7	12040992	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3595	  2321-1-01	6707131657	5.75	1	36.3	12040993	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3596	  2321-1-01	6707133124	5.75	1	40.2	12040994	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3597	  2321-1-01	6707134017	5.75	1	31.6	12040995	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3598	  2321-1-01	6707134649	5.75	1	35.5	12040996	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3599	  2321-1-01	6707134812	5.75	1	40.2	12040997	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3600	  2321-1-01	6707135324	5.75	1	38.4	12040998	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3601	  2321-1-01	6807071728	5.75	1	40.1	12040999	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3602	  2321-1-01	6807072107	5.75	1	40.9	12041000	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3603	  2321-1-01	6807072512	5.75	1	42.1	12041001	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3604	  2321-1-01	6807073236	5.75	1	40.5	12041002	3901	14126	00004775        	1	     56480	1
