CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	InvoiceDate
3670	3.74	0	112.2	130.5		3	1	30	BX	112.2	605640	0	4.35	LB	 66465-1-01	BACON, 14/17 15# BOX FROZEN			30	2	30	4.35	3.74	30	2	05/06/2011
3670	18.936	0	2015.92	2171.78		4	1	106.46	BX	2015.92	605640	0	20.4	LB	 35030-1-01	FILET, 12-OZ 1190B TAVERN CH			106.46	7	105	20.4	18.936	106.46	7	05/06/2011
3670	4.14	0	165.6	190		5	1	40	BX	165.6	605640	0	4.75	LB	 11367-1-01	BEEF, GROUND 4/5# PKGS KOBE			40	2	40	4.75	4.14	40	2	05/06/2011
3670	10.5	0	105.21	162.83		6	1	10.02	BX	105.21	605640	0	16.25	LB	 15553-1-01	BEEF, FILET OF RIB EYE 8-OZ PR			10.02	1	10	16.25	10.5	10.02	1	05/06/2011
3670	4.55	0	39.95	92.63		7	1	8.78	BX	39.95	605640	0	10.55	LB	 31121-1-01	BEEF, RIB CAP MEAT PR			8.78	1	10	10.55	4.55	8.78	1	05/06/2011
4152	2.83	3.95	362.24	505.6		1	1	128	BX	362.24	605642	0	3.95	LB	 11361-1-01	GROUND BEEF, 8/2# BULK 75/25			128	8	128	3.95	2.83	128	8	05/06/2011
4152	11.07	12.5	154.98	175		2	1	14	PC	154.98	605642	0	12.5	LB	 11204-1-01	TENDERS, 6/UP PSMO PR			14	2	12	12.5	11.07	14	1	05/06/2011
4152	27.5682	30.5	685.35	764.45		3	1	24.86	BX	685.35	605642	0	30.75	LB	 15233-1-01	FILET, 8-OZ 1190B CC NY PR			24.86	2	24	30.75	27.5682	24.86	2	05/06/2011
4152	17.9292	20.25	270.73	313.33		4	1	15.1	BX	270.73	605642	0	20.75	LB	 14142-1-01	STRIPSTK, 12-OZ CC NV 1" PR			15.1	1	15	20.75	17.9292	15.1	1	05/06/2011
4152	15.9333	18.25	179.73	208.68		5	1	11.28	BX	179.73	605642	0	18.5	LB	 14168-1-01	STRIPSTK, 18-OZ BI NV CC 1" PR			11.28	1	11.25	18.5	15.9333	11.28	1	05/06/2011
4152	16.0137	17.95	652.71	743.87		6	1	40.76	BX	652.71	605642	0	18.25	LB	 15717-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			40.76	3	39.38	18.25	16.0137	40.76	3	05/06/2011
4152	24.5033	24.95	249.45	253.99		7	1	10.18	BX	249.45	605642	0	24.95	LB	 55210-1-01	LAMB, RIB CHOP 2-RIB LONG BONE			10.18	2	20	24.95	24.5033	10.18	2	05/06/2011
3508	12.23	0	146.76	150.6		1	1	12	BX	146.76	605643	0	12.55	LB	 56003-1-01	VEAL, 5-RIB CHOP READY			12	1	10	12.55	12.23	12	1	05/06/2011
3508	8.6	0	3164.8	3220		2	1	368	BX	3164.8	605643	0	8.75	LB	 32212-1-01	TENDERS, 5/UP 189A PSMO CH			368	5	300	8.75	8.6	368	5	05/06/2011
417	8.6	8.8	4203.68	4301.44		1	1	488.8	BX	4203.68	605644	0	8.8	LB	 32206-1-01	BEEF,TENDER 6/UP DEL FRISCO			488.8	6	432	8.8	8.6	488.8	6	05/06/2011
417	8.5	9.2	705.5	763.6		2	1	83	BX	705.5	605644	0	9.2	LB	 11316-1-01	BEEF, RIB EYE 12/15 2"LIP PR			83	1	84	9.2	8.5	83	1	05/06/2011
417	15.5592	17.9	236.81	272.44		3	1	15.22	BX	236.81	605644	0	17.9	LB	 16059-1-01	BEEF, P-HOUSE 24-OZ CC NV PR			15.22	1	15	17.9	15.5592	15.22	1	05/06/2011
417	14.45	16.25	111.21	125.94		4	1	7.75	BX	111.21	605644	0	16.25	LB	 15711-1-01	BEEF, RIB CHOP 30/32-OZ			7.75	1	8	16.25	14.45	7.75	1	05/06/2011
417	15.25	0	138.78	146.51		5	1	9.1	BX	138.78	605644	0	16.1	LB	 55046-1-01	LAMB, RACK 26-UP FR'D CAP OFF			9.1	1	19.5	16.1	15.25	9.1	1	05/06/2011
