CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
1421	0	6.3	0	6.3		15	1	1	BX	0	602235	0	6.3	BX	 77002-1-01	CHILEAN SEA BASS			1	1	1	6.3	0	1	1	03/21/2011
1421	17.9187	19.03	540.43	573.94		16	1	30.16	BX	540.43	602235	0	19.03	LB	 14161-1-01	STRIPSTK, 12-OZ CC NV 1/2" PR			30.16	2	30	19.03	17.9187	30.16	2	03/21/2011
1421	5	7.81	204.2	318.96		17	1	40.84	BX	204.2	602235	0	7.81	LB	 32253-1-01	BEEF, TENDER TAIL 1190A CHOICE			40.84	3	36	7.81	5	40.84	3	03/21/2011
3149	17.9187	19.03	1071.55	1137.99		1	1	59.8	BX	1071.55	602236	0	19.03	LB	 14254-1-01	STRIPSTK, 20-OZ CC NV 1/2" PR			59.8	4	60	19.03	17.9187	59.8	4	03/21/2011
3149	17.9187	19.06	540.43	574.85		2	1	30.16	BX	540.43	602236	0	19.06	LB	 16061-1-01	BEEF, P-HOUSE 24-OZ 1/2" PR			30.16	2	30	19.06	17.9187	30.16	2	03/21/2011
3149	16.8708	17.59	2207.71	2301.83		3	1	130.86	BX	2207.71	602236	0	17.59	LB	 35237-1-01	FILET, 12-OZ 1190 FC CH			130.86	9	135	17.59	16.8708	130.86	9	03/21/2011
3149	14.4086	15.66	865.96	941.17		4	1	60.1	BX	865.96	602236	0	15.66	LB	 15529-1-01	BEEF, RIB EYE 16-OZ 1112 PR			60.1	4	60	15.66	14.4086	60.1	4	03/21/2011
3149	24.5467	25.94	325.49	343.96		6	1	13.26	BX	325.49	602236	0	25.94	LB	 55285-1-01	LAMB, RIB CHOP 6-OZ FRD CH			13.26	1	12.38	25.94	24.5467	13.26	1	03/21/2011
3149	5	7.81	200.6	313.34		7	1	40.12	BX	200.6	602236	0	7.81	LB	 32253-1-01	BEEF, TENDER TAIL 1190A CHOICE			40.12	3	36	7.81	5	40.12	3	03/21/2011
3149	16.8708	17.59	2169.23	2261.72		8	1	128.58	BX	2169.23	602236	0	17.59	LB	 35242-1-01	FILET, 8 1/4 - 8 3/4 24/BX FC			128.58	10	127.5	17.59	16.8708	128.58	10	03/21/2011
3149	6.5	8.86	69.42	94.62		9	1	10.68	BX	69.42	602236	0	8.86	LB	 35106-1-01	BEEF, TENDER MED 2-OZ			10.68	1	10	8.86	6.5	10.68	1	03/21/2011
3149	2.83	3.82	181.12	244.48		10	1	64	LB	181.12	602236	0	3.82	LB	 11361-1-01	GROUND BEEF, 8/2# BULK 75/25			64	64	64	3.82	2.83	64	4	03/21/2011
3149	3.2	3.8	96	114		11	1	30	BX	96	602236	0	3.8	LB	 66468-1-01	BACON, 18/22 SYP 15# GRILL RDY			30	2	30	3.8	3.2	30	2	03/21/2011
3149	2.74	3.34	123.3	150.3		12	1	45	BX	123.3	602236	0	3.34	LB	 66405-1-01	BACON, GUSTO BRAND 15# BX			45	3	45	3.34	2.74	45	3	03/21/2011
3149	9.2035	10.07	239.29	261.82		13	1	26	PC	239.29	602236	0	10.07	LB	 10009-1-01	BEEF, EXPORT RIB 5 BONE PR			26	2	26	10.07	9.2035	26	1	03/21/2011
3149	15.7354	16.77	1370.55	1460.67		14	1	87.1	BX	1370.55	602236	0	16.77	LB	 15726-1-01	BEEF, RIB CHOP 22/24-OZ FRD PR			87.1	6	86.25	16.77	15.7354	87.1	6	03/21/2011
3149	15.6356	19.13	763.33	933.93		15	1	48.82	BX	763.33	602236	0	19.13	LB	 34442-1-01	FILET, 16-OZ BI CH MORTONS			48.82	5	50	19.13	15.6356	48.82	5	03/21/2011
3149	0	6.3	0	6.3		16	1	1	BX	0	602236	0	6.3	BX	 77002-1-01	CHILEAN SEA BASS			1	1	1	6.3	0	1	1	03/21/2011
