CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
748	22.4722	23.45	-53.48	-55.81		3	1	-2.38	LB	0	593108	0	0	LB	 14119-1-01	STRIPSTK, 19-OZ CC NV 1" PR			-2.38	-2.38	-2.38	23.45	22.4722	0	0	11/12/2010
748	17.8793	19.95	-33.61	-37.51		4	1	-1.88	LB	0	593108	0	0	LB	 35002-1-01	FILET, 10-OZ 1190			-1.88	-1.88	-1.88	19.95	17.8793	0	0	11/12/2010
748	2.9	3	-290	-300		5	1	-100	LB	0	593108	0	0	LB	 78119-1-01	GROUND BEEF, GIBSONS			-100	-100	-100	3	2.9	0	0	11/12/2010
748	17.2123	18.25	-223.76	-237.25		6	1	-13	LB	0	593108	0	0	LB	 16065-1-01	BEEF, P-HOUSE 26-OZ 1" PR			-13	-13	-13	18.25	17.2123	0	0	11/12/2010
748	0	0	0	0		0	2	0		0	593108	0	0		     0-0-00	REFER TO INVOICE 592331	RA-01204 QUALITY		0	0	0	0	0	0	0	11/12/2010
71	12	14.95	-121.44	-151.29		1	1	-10.12	LB	0	593109	0	0	LB	 14600-1-01	STRIPSTK, 8-OZ CC BNLS NV 1" P			-10.12	-10.12	-10.12	14.95	12	0	0	11/12/2010
71	0	0	0	0		0	2	0		0	593109	0	0		     0-0-00	REFER TO INVOICE 592638	RA-01046 OVER ORDER		0	0	0	0	0	0	0	11/12/2010
748	17.2123	18.25	-111.88	-118.63		1	1	-6.5	LB	0	593110	0	0	LB	 16065-1-01	BEEF, P-HOUSE 26-OZ 1" PR			-6.5	-6.5	-6.5	18.25	17.2123	0	0	11/12/2010
748	0	0	0	0		0	2	0		0	593110	0	0		     0-0-00	REFER TO INVOICE 592313	RA-01202 QUALITY		0	0	0	0	0	0	0	11/12/2010
748	16.4849	17.5	-181.33	-192.5		1	1	-11	LB	0	593111	0	0	LB	 15731-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			-11	-11	-11	17.5	16.4849	0	0	11/12/2010
748	17.2123	18.25	-25.82	-27.38		2	1	-1.5	LB	0	593111	0	0	LB	 14273-1-01	STRIPSTK, 24-OZ CC BI NV CC 1"			-1.5	-1.5	-1.5	18.25	17.2123	0	0	11/12/2010
748	17.2123	18.25	-51.64	-54.75		3	1	-3	LB	0	593111	0	0	LB	 14229-1-01	STRIPSTK, 16-OZ BI NV CC 1" PR			-3	-3	-3	18.25	17.2123	0	0	11/12/2010
748	0	0	0	0		0	2	0		0	593111	0	0		     0-0-00	REFER TO INVOICE 592238	RA-01201 QUALITY		0	0	0	0	0	0	0	11/12/2010
4136	22.4722	23.45	-266.97	-278.59		1	1	-11.88	LB	0	593112	0	0	LB	 14119-1-01	STRIPSTK, 19-OZ CC NV 1" PR			-11.88	-11.88	-11.88	23.45	22.4722	0	0	11/12/2010
4136	0	0	0	0		0	2	0		0	593112	0	0		     0-0-00	REFER TO INVOICE 592256	RA-01205 QUALITY		0	0	0	0	0	0	0	11/12/2010
748	17.2123	18.25	-51.64	-54.75		1	1	-3	LB	0	593113	0	0	LB	 16097-1-01	BEEF, P-HOUSE 48-OZ PR			-3	-3	-3	18.25	17.2123	0	0	11/12/2010
748	0	0	0	0		0	2	0		0	593113	0	0		     0-0-00	REFER TO INVOICE 592391	RA-01203 QUALITY		0	0	0	0	0	0	0	11/12/2010
3365	2.46	3.06	106.2	137.7		1	1	45	BX	106.2	593114	0	3.06	LB	 66405-1-01	BACON, GUSTO BRAND 15# BX			45	3	45	3.06	2.46	45	3	11/12/2010
3365	2.96	3.56	44.4	53.4		2	1	15	BX	44.4	593114	0	3.56	LB	 66468-1-01	BACON, 18/22 SYP 15# GRILL RDY			15	1	15	3.56	2.96	15	1	11/12/2010
3365	0	0	0	0		0	2	0		0	593114	0	0		     0-0-00		ADD ON SHIP WITH MAIN ORDER		0	0	0	0	0	0	0	11/12/2010
3435	8.56	0	20957.43	22646.78		2	1	2448.3	BX	20957.43	593115	0	9.25	LB	 32206-1-01	BEEF,TENDER 6/UP DEL FRISCO			2448.3	30	2160	9.25	8.56	2448.3	30	11/12/2010
3435	17.8667	0	5795.24	6211.49		3	1	324.36	BX	5795.24	593115	0	19.15	LB	 14268-1-01	STRIPSTK, 26-OZ BI NV CC 1" PR			324.36	20	325	19.15	17.8667	324.36	20	11/12/2010
3435	16.9	0	2646.54	2646.54		4	1	156.6	BX	2646.54	593115	0	16.9	LB	 55127-1-01	LAMB, RACK 9-RIB FR'D CAP OFF			156.6	8	80	16.9	16.9	156.6	8	11/12/2010
3435	8.87	0	365.45	366.68		5	1	41.2	BX	365.45	593115	0	8.9	LB	 66248-1-01	PORK, P-HOUSE 16-OZ DRY AGE			41.2	4	40	8.9	8.87	41.2	4	11/12/2010
3435	14.45	0	1096.33	1283.52		6	1	76.4	BX	1096.33	593115	0	16.8	LB	 15711-1-01	BEEF, RIB CHOP 30/32-OZ			76.4	10	80	16.8	14.45	76.4	10	11/12/2010
3435	11.0847	0	558.01	664.49		7	1	50.34	BX	558.01	593115	0	13.2	LB	 56608-1-01	VEAL, PORTERHOUSE 16-OZ 10/BX			50.34	5	50	13.2	11.0847	50.34	5	11/12/2010
3435	16.8829	0	6856.46	7269.55		8	1	406.12	BX	6856.46	593115	0	17.9	LB	 15542-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			406.12	30	412.5	17.9	16.8829	406.12	30	11/12/2010
3435	14.1968	0	2222.92	3272.52		9	1	156.58	BX	2222.92	593115	0	20.9	LB	 35081-1-01	FILET, 16-OZ BI CH DEL FRISCO			156.58	15	150	20.9	14.1968	156.58	15	11/12/2010
748	16.4849	17.5	-113.42	-120.4		1	1	-6.88	LB	0	593116	0	0	LB	 15731-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			-6.88	-6.88	-6.88	17.5	16.4849	0	0	11/12/2010
748	2.9	3	-29	-30		2	1	-10	LB	0	593116	0	0	LB	 78119-1-01	GROUND BEEF, GIBSONS			-10	-10	-10	3	2.9	0	0	11/12/2010
748	0	0	0	0		0	2	0		0	593116	0	0		     0-0-00	REFER TO INVOICE 592682	RA-NONE QUALITY		0	0	0	0	0	0	0	11/12/2010
3691	4.69	0	-69.69	-88.42		1	1	-14.86	LB	0	593117	0	5.95	LB	 66766-1-01	HAM, NUESKE BNLS 10/12 SMKD			-14.86	-14.86	-14.86	5.95	4.69	0	0	11/12/2010
3691	0	0	0	0		0	2	0		0	593117	0	0		     0-0-00	REFER TO INVOICE 592323	RA-0137 INCOERRECT ITEM		0	0	0	0	0	0	0	11/12/2010
3266	4.2214	0	88.74	114.35		1	1	21.02	BX	88.74	593118	0	5.44	LB	 66107-1-01	PORK, CHOP 10-OZ CC SEMI BNLS			21.02	2	20	5.44	4.2214	21.02	2	11/12/2010
3266	4.2214	0	44.75	57.66		2	1	10.6	BX	44.75	593118	0	5.44	LB	 66237-1-01	PORK, CHOP 8-OZ CC 20/BX			10.6	1	10	5.44	4.2214	10.6	1	11/12/2010
3266	8.58	0	82.37	98.4		3	1	9.6	BX	82.37	593118	0	10.25	LB	 56809-1-01	VEAL, 2" OSSO BUCO BI PROVIMI			9.6	1	10	10.25	8.58	9.6	1	11/12/2010
3243	5.6357	0	-57.03	-73.17		1	1	-10.12	LB	0	593119	0	7.23	LB	 35866-1-01	BEEF, 10-OZ 1140 HANGING TENDR			-10.12	-10.12	-10.12	7.23	5.6357	0	0	11/12/2010
3243	0	0	0	0		0	2	0		0	593119	0	0		     0-0-00	REFER TO INVOICE 591796	RA-01118 QUALITY		0	0	0	0	0	0	0	11/12/2010
3060	4.0741	0	53.37	62.62		1	1	13.1	BX	53.37	593120	0	4.78	LB	 35855-1-01	BEEF, CUBE STEAK 4-OZ			13.1	1	1	4.78	4.0741	13.1	1	11/12/2010
3060	15.41	0	163.04	200.17		2	1	10.58	BX	163.04	593120	0	18.92	LB	 42316-1-01	FILET, 8-OZ 1190A E/E SEL			10.58	1	10	18.92	15.41	10.58	1	11/12/2010
3060	8.85	0	110.8	128.08		3	1	12.52	BX	110.8	593120	0	10.23	LB	 36045-1-01	BEEF, P-HOUSE 20-OZ 1" CH			12.52	1	12.5	10.23	8.85	12.52	1	11/12/2010
3060	17.8793	0	179.87	239.73		4	1	10.06	BX	179.87	593120	0	23.83	LB	 38115-1-01	FILET, 10-OZ 1190B CC CH			10.06	1	10	23.83	17.8793	10.06	1	11/12/2010
3060	5	0	296	416.77		5	1	59.2	BX	296	593120	0	7.04	LB	 32158-1-01	BEEF, EXPORT RIB 12/15 2X2 CH			59.2	1	70	7.04	5	59.2	1	11/12/2010
3060	7.5	0	131.7	162.96		6	1	17.56	BX	131.7	593120	0	9.28	LB	 34184-1-01	STRIPSTK, 14-OZ BNLS CC NV 1"			17.56	2	17.5	9.28	7.5	17.56	2	11/12/2010
