CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
4162	4.28	0	68.91	92.58		2	1	16.1	PC	68.91	602188	0	5.75	LB	 21404-1-01	STRIPLOIN, 1X1 12/UP BNLS CAB			16.1	1	12	5.75	4.28	16.1	1	03/21/2011
4162	5.4	0	108	115		3	1	20	BX	108	602188	0	5.75	LB	 35680-1-01	BEEF, CUBE STEAK 6-OZ 10#			20	2	20	5.75	5.4	20	2	03/21/2011
3217	9.8633	0	104.95	119.27		1	1	10.64	BX	104.95	602189	0	11.21	LB	 35726-1-01	BEEF, RIB CHOP 20/22 OZ FRD CH			10.64	1	11	11.21	9.8633	10.64	1	03/21/2011
3217	2.5	0	82.95	160.26		2	1	33.18	BX	82.95	602189	0	4.83	LB	 42274-1-01	BEEF, PEPPER STK STRIP/RIB EYE			33.18	3	30	4.83	2.5	33.18	3	03/21/2011
3217	1.5	0	300	1082		3	1	200	BX	300	602189	0	5.41	LB	 42258-1-01	BEEF, TENDERLOIN PIECES			200	20	200	5.41	1.5	200	20	03/21/2011
3217	5.02	0	1206.31	1559.55		4	1	240.3	BX	1206.31	602189	0	6.49	LB	 31350-1-01	BEEF, RIB EYE 15/UP 2" LIP CH			240.3	3	225	6.49	5.02	240.3	3	03/21/2011
3217	17.75	0	433.46	483.27		5	1	24.42	BX	433.46	602189	0	19.79	LB	 35314-1-01	FILET, 8-OZ 1190B CC CH			24.42	2	24	19.79	17.75	24.42	2	03/21/2011
3217	3	0	120	239.6		6	1	40	BX	120	602189	0	5.99	LB	 44111-1-01	TENDERLOIN, TIDBITS 2-5# CH			40	4	40	5.99	3	40	4	03/21/2011
3217	14.93	0	301.89	363.35		7	1	20.22	BX	301.89	602189	0	17.97	LB	 42315-1-01	FILET, 6-OZ 1190A E/E SEL			20.22	2	19.5	17.97	14.93	20.22	2	03/21/2011
3217	5.7578	0	112.85	168.95		8	1	19.6	BX	112.85	602189	0	8.62	LB	 34589-1-01	BEEF,10-OZ CULOTTE 2/PKG 1184D			19.6	2	20	8.62	5.7578	19.6	2	03/21/2011
